graph_name,pw,type
1-FullIns_3,14,orig
1-FullIns_4,45,orig
1-FullIns_5,139,orig
1-Insertions_4,31,orig
1-Insertions_5,98,orig
1-Insertions_6,300,orig
2-FullIns_3,19,orig
2-FullIns_4,73,orig
2-FullIns_5,287,orig
2-Insertions_3,11,orig
2-Insertions_4,48,orig
2-Insertions_5,197,orig
3-FullIns_3,24,orig
3-FullIns_4,107,orig
3-FullIns_5,515,orig
3-Insertions_3,13,orig
3-Insertions_4,69,orig
3-Insertions_5,350,orig
4-FullIns_3,29,orig
4-FullIns_4,147,orig
4-FullIns_5,841,orig
4-Insertions_3,15,orig
4-Insertions_4,94,orig
5-FullIns_3,34,orig
5-FullIns_4,193,orig
anna,61,orig
ash331GPIA,102,orig
ash608GPIA,170,orig
ash958GPIA,172,orig
david,53,orig
DSJC1000.1,947,orig
DSJC1000.5,989,orig
DSJC1000.9,997,orig
DSJC125.1,91,orig
DSJC125.5,119,orig
DSJC125.9,123,orig
DSJC250.1,212,orig
DSJC250.5,242,orig
DSJC250.9,246,orig
DSJC500.1,457,orig
DSJC500.5,491,orig
DSJC500.9,496,orig
DSJR500.1,395,orig
DSJR500.1c,496,orig
DSJR500.5,493,orig
games120,91,orig
huck,48,orig
latin_square_10,891,orig
le450_15a,386,orig
le450_15b,381,orig
le450_15c,420,orig
le450_15d,419,orig
le450_25a,360,orig
le450_25b,361,orig
le450_25c,411,orig
le450_25d,416,orig
le450_5a,384,orig
le450_5b,382,orig
le450_5c,402,orig
le450_5d,405,orig
miles1000,123,orig
miles1500,125,orig
miles500,104,orig
miles750,115,orig
mug100_1,26,orig
mug100_25,32,orig
mug88_1,31,orig
mug88_25,32,orig
myciel3,7,orig
myciel4,17,orig
myciel5,38,orig
myciel6,82,orig
myciel7,172,orig
qg.order100,9900,orig
qg.order30,870,orig
qg.order40,1560,orig
qg.order60,3540,orig
queen10_10,91,orig
queen11_11,111,orig
queen12_12,133,orig
queen13_13,157,orig
queen14_14,183,orig
queen15_15,211,orig
queen16_16,241,orig
queen5_5,21,orig
queen6_6,31,orig
queen7_7,43,orig
queen8_12,85,orig
queen8_8,57,orig
queen9_9,73,orig
school1,320,orig
school1_nsh,292,orig
wap01a,1537,orig
wap02a,1512,orig
wap03a,3364,orig
wap04a,3394,orig
wap05a,674,orig
wap06a,668,orig
wap07a,1454,orig
wap08a,1445,orig
will199GPIA,399,orig
grid004x004,4,orig
grid010x010,10,orig
grid020x020,20,orig
grid030x030,30,orig
grid040x040,40,orig
grid050x050,50,orig
grid060x060,60,orig
grid070x070,70,orig
grid080x080,80,orig
grid090x090,90,orig
grid100x100,100,orig
grid200x200,200,orig
hc-power-11,6,orig
hc-power-12,6,orig
hc-square-01,4,orig
hc-square-02,4,orig
hc-toyno-01,3,orig
hc-toyyes-01,2,orig
hc-power-004-002,5,orig
hc-power-005-002,5,orig
hc-power-006-002,5,orig
hc-power-007-002,5,orig
hc-power-008-002,5,orig
hc-power-009-002,5,orig
hc-power-010-002,5,orig
hc-power-011-002,5,orig
hc-power-012-002,5,orig
hc-power-013-002,5,orig
hc-power-014-002,5,orig
hc-power-015-002,5,orig
hc-power-016-002,5,orig
hc-power-017-002,5,orig
hc-power-018-002,5,orig
hc-power-019-002,5,orig
hc-power-020-002,5,orig
queen008x008,57,orig
queen010x010,91,orig
queen012x012,133,orig
queen014x014,183,orig
queen016x016,241,orig
queen018x018,307,orig
queen020x020,381,orig
queen022x022,463,orig
queen024x024,553,orig
queen026x026,651,orig
queen028x028,757,orig
queen030x030,871,orig
queen040x040,1561,orig
queen050x050,2451,orig
queen060x060,3541,orig
queen070x070,4831,orig
queen080x080,6321,orig
queen090x090,8011,orig
queen100x100,9901,orig
queen200x200,39801,orig
sp001,11,orig
sp002,11,orig
sp003,11,orig
sp004,11,orig
sp005,11,orig
sp006,11,orig
sp007,11,orig
sp008,11,orig
sp009,11,orig
sp010,11,orig
sp011,11,orig
sp012,11,orig
sp013,11,orig
sp014,11,orig
sp015,11,orig
sp016,11,orig
sp017,11,orig
sp018,11,orig
sp019,11,orig
sp020,11,orig
sp021,11,orig
sp022,11,orig
sp023,11,orig
sp024,11,orig
sp025,11,orig
sp026,11,orig
sp027,11,orig
sp028,11,orig
sp029,11,orig
sp030,11,orig
hc-square-004-002,4,orig
hc-square-005-002,4,orig
hc-square-006-002,4,orig
hc-square-007-002,4,orig
hc-square-008-002,4,orig
hc-square-009-002,4,orig
hc-square-010-002,4,orig
hc-square-011-002,4,orig
hc-square-012-002,4,orig
hc-square-013-002,4,orig
hc-square-014-002,4,orig
hc-square-015-002,4,orig
hc-square-016-002,4,orig
hc-square-017-002,4,orig
hc-square-018-002,4,orig
hc-square-019-002,4,orig
hc-square-020-002,4,orig
IS_exp_instance001,11,orig
IS_exp_instance002,11,orig
IS_exp_instance003,11,orig
IS_exp_instance004,11,orig
IS_exp_instance005,11,orig
IS_exp_instance006,11,orig
IS_exp_instance007,11,orig
IS_exp_instance008,11,orig
IS_exp_instance009,11,orig
IS_exp_instance010,11,orig
IS_exp_instance011,11,orig
IS_exp_instance012,11,orig
IS_exp_instance013,11,orig
IS_exp_instance014,11,orig
IS_exp_instance015,11,orig
IS_exp_instance016,11,orig
IS_exp_instance017,11,orig
IS_exp_instance018,11,orig
IS_exp_instance019,11,orig
IS_exp_instance020,11,orig
IS_exp_instance021,11,orig
IS_exp_instance022,11,orig
IS_exp_instance023,11,orig
IS_exp_instance024,11,orig
IS_exp_instance025,11,orig
IS_exp_instance026,11,orig
IS_exp_instance027,11,orig
IS_exp_instance028,11,orig
IS_exp_instance029,11,orig
IS_exp_instance030,11,orig
IS_exp_instance031,11,orig
IS_exp_instance032,11,orig
IS_exp_instance033,11,orig
IS_exp_instance034,11,orig
IS_exp_instance035,11,orig
IS_exp_instance036,11,orig
IS_exp_instance037,11,orig
IS_exp_instance038,11,orig
IS_exp_instance039,11,orig
IS_exp_instance040,11,orig
LGC_exp_instance001,3,orig
LGC_exp_instance002,6,orig
LGC_exp_instance003,14,orig
LGC_exp_instance004,26,orig
LGC_exp_instance005,42,orig
LGC_exp_instance006,62,orig
LGC_exp_instance007,86,orig
LGC_exp_instance008,114,orig
LGC_exp_instance009,146,orig
LGC_exp_instance010,182,orig
LGC_exp_instance011,222,orig
LGC_exp_instance012,266,orig
LGC_exp_instance013,314,orig
LGC_exp_instance014,366,orig
LGC_exp_instance015,422,orig
LGC_exp_instance016,482,orig
LGC_exp_instance017,546,orig
LGC_exp_instance018,614,orig
LGC_exp_instance019,686,orig
LGC_exp_instance020,762,orig
LGC_exp_instance021,842,orig
LGC_exp_instance022,926,orig
LGC_exp_instance023,1014,orig
LGC_exp_instance024,1106,orig
LGC_exp_instance025,1202,orig
LGC_exp_instance026,1302,orig
LGC_exp_instance027,1406,orig
LGC_exp_instance028,1514,orig
LGC_exp_instance029,1626,orig
LGC_exp_instance030,1742,orig
LGC_exp_instance031,1862,orig
LGC_exp_instance032,1986,orig
LGC_exp_instance033,2114,orig
LGC_exp_instance034,2246,orig
LGC_exp_instance035,2382,orig
LGC_exp_instance036,2522,orig
LGC_exp_instance037,2666,orig
LGC_exp_instance038,2814,orig
LGC_exp_instance039,2966,orig
LGC_exp_instance040,3122,orig
SAT_exp_instance001,1,orig
SAT_exp_instance002,2,orig
SAT_exp_instance003,3,orig
SAT_exp_instance004,10,orig
SAT_exp_instance005,11,orig
SAT_exp_instance006,24,orig
SAT_exp_instance007,25,orig
SAT_exp_instance008,44,orig
SAT_exp_instance009,45,orig
SAT_exp_instance010,70,orig
SAT_exp_instance011,71,orig
SAT_exp_instance012,102,orig
SAT_exp_instance013,103,orig
SAT_exp_instance014,140,orig
SAT_exp_instance015,141,orig
SAT_exp_instance016,184,orig
SAT_exp_instance017,185,orig
SAT_exp_instance018,234,orig
SAT_exp_instance019,235,orig
SAT_exp_instance020,290,orig
SAT_exp_instance021,291,orig
SAT_exp_instance022,352,orig
SAT_exp_instance023,353,orig
SAT_exp_instance024,420,orig
SAT_exp_instance025,421,orig
SAT_exp_instance026,494,orig
SAT_exp_instance027,495,orig
SAT_exp_instance028,574,orig
SAT_exp_instance029,575,orig
SAT_exp_instance030,660,orig
SAT_exp_instance031,661,orig
SAT_exp_instance032,752,orig
SAT_exp_instance033,753,orig
SAT_exp_instance034,850,orig
SAT_exp_instance035,851,orig
SAT_exp_instance036,954,orig
SAT_exp_instance037,955,orig
SAT_exp_instance038,1064,orig
SAT_exp_instance039,1065,orig
SAT_exp_instance040,1180,orig
suzuki_instance_3_10_2_2,307,orig
suzuki_instance_3_11_2_2,337,orig
suzuki_instance_3_12_2_2,367,orig
suzuki_instance_3_13_2_2,397,orig
suzuki_instance_3_14_2_2,427,orig
suzuki_instance_3_15_2_2,457,orig
suzuki_instance_3_16_2_2,487,orig
suzuki_instance_3_17_2_2,517,orig
suzuki_instance_3_18_2_2,547,orig
suzuki_instance_3_19_2_2,577,orig
suzuki_instance_3_20_2_2,607,orig
suzuki_instance_3_4_2_2,127,orig
suzuki_instance_3_5_2_2,157,orig
suzuki_instance_3_6_2_2,187,orig
suzuki_instance_3_7_2_2,217,orig
suzuki_instance_3_8_2_2,247,orig
suzuki_instance_3_9_2_2,277,orig
suzuki_instance_3_10_2_3,461,orig
suzuki_instance_3_11_2_3,506,orig
suzuki_instance_3_12_2_3,551,orig
suzuki_instance_3_13_2_3,596,orig
suzuki_instance_3_14_2_3,641,orig
suzuki_instance_3_15_2_3,686,orig
suzuki_instance_3_16_2_3,731,orig
suzuki_instance_3_17_2_3,776,orig
suzuki_instance_3_18_2_3,821,orig
suzuki_instance_3_19_2_3,866,orig
suzuki_instance_3_20_2_3,911,orig
suzuki_instance_3_4_2_3,191,orig
suzuki_instance_3_5_2_3,236,orig
suzuki_instance_3_6_2_3,281,orig
suzuki_instance_3_7_2_3,326,orig
suzuki_instance_3_8_2_3,371,orig
suzuki_instance_3_9_2_3,416,orig
suzuki_instance_2_10_2_2,207,orig
suzuki_instance_2_11_2_2,227,orig
suzuki_instance_2_12_2_2,247,orig
suzuki_instance_2_13_2_2,267,orig
suzuki_instance_2_14_2_2,287,orig
suzuki_instance_2_15_2_2,307,orig
suzuki_instance_2_16_2_2,327,orig
suzuki_instance_2_17_2_2,347,orig
suzuki_instance_2_18_2_2,367,orig
suzuki_instance_2_19_2_2,387,orig
suzuki_instance_2_20_2_2,407,orig
suzuki_instance_2_4_2_2,87,orig
suzuki_instance_2_5_2_2,107,orig
suzuki_instance_2_6_2_2,127,orig
suzuki_instance_2_7_2_2,147,orig
suzuki_instance_2_8_2_2,167,orig
suzuki_instance_2_9_2_2,187,orig
suzuki_instance_2_10_2_3,311,orig
suzuki_instance_2_11_2_3,341,orig
suzuki_instance_2_12_2_3,371,orig
suzuki_instance_2_13_2_3,401,orig
suzuki_instance_2_14_2_3,431,orig
suzuki_instance_2_15_2_3,461,orig
suzuki_instance_2_16_2_3,491,orig
suzuki_instance_2_17_2_3,521,orig
suzuki_instance_2_18_2_3,551,orig
suzuki_instance_2_19_2_3,581,orig
suzuki_instance_2_20_2_3,611,orig
suzuki_instance_2_4_2_3,131,orig
suzuki_instance_2_5_2_3,161,orig
suzuki_instance_2_6_2_3,191,orig
suzuki_instance_2_7_2_3,221,orig
suzuki_instance_2_8_2_3,251,orig
suzuki_instance_2_9_2_3,281,orig
ph-03-02,13,orig
ph-03-03,20,orig
ph-04-03,26,orig
ph-04-04,35,orig
ph-05-04,43,orig
ph-05-05,54,orig
ph-06-05,64,orig
ph-06-06,77,orig
ph-07-06,89,orig
ph-07-07,104,orig
ph-08-07,118,orig
ph-08-08,135,orig
ph-09-08,151,orig
ph-09-09,170,orig
ph-10-09,188,orig
ph-10-10,209,orig
ph-11-10,229,orig
ph-11-11,252,orig
ph-12-11,274,orig
ph-12-12,299,orig
