graph_name,vertices,edges,dat_file,tokens,dat_file_s_id
1-FullIns_3,30,100,1-FullIns_3_01,14,0
1-FullIns_3,30,100,1-FullIns_3_02,13,1
1-FullIns_4,93,593,1-FullIns_4_01,45,2
1-FullIns_4,93,593,1-FullIns_4_02,44,3
1-FullIns_5,282,3247,1-FullIns_5_01,139,4
1-FullIns_5,282,3247,1-FullIns_5_02,138,5
1-Insertions_4,67,232,1-Insertions_4_01,32,6
1-Insertions_4,67,232,1-Insertions_4_02,31,7
1-Insertions_5,202,1227,1-Insertions_5_01,99,8
1-Insertions_5,202,1227,1-Insertions_5_02,98,9
1-Insertions_6,607,6337,1-Insertions_6_01,301,10
1-Insertions_6,607,6337,1-Insertions_6_02,300,11
2-FullIns_3,52,201,2-FullIns_3_01,24,12
2-FullIns_3,52,201,2-FullIns_3_02,24,13
2-FullIns_4,212,1621,2-FullIns_4_01,104,14
2-FullIns_4,212,1621,2-FullIns_4_02,104,15
2-FullIns_5,852,12201,2-FullIns_5_01,424,16
2-FullIns_5,852,12201,2-FullIns_5_02,424,17
2-Insertions_3,37,72,2-Insertions_3_01,17,18
2-Insertions_3,37,72,2-Insertions_3_02,17,19
2-Insertions_4,149,541,2-Insertions_4_01,73,20
2-Insertions_4,149,541,2-Insertions_4_02,73,21
2-Insertions_5,597,3936,2-Insertions_5_01,297,22
2-Insertions_5,597,3936,2-Insertions_5_02,297,23
3-FullIns_3,80,346,3-FullIns_3_01,37,24
3-FullIns_3,80,346,3-FullIns_3_02,36,25
3-FullIns_4,405,3524,3-FullIns_4_01,198,26
3-FullIns_4,405,3524,3-FullIns_4_02,197,27
3-FullIns_5,2030,33751,3-FullIns_5_01,1009,28
3-FullIns_5,2030,33751,3-FullIns_5_02,1008,29
3-Insertions_3,56,110,3-Insertions_3_01,27,30
3-Insertions_3,56,110,3-Insertions_3_02,26,31
3-Insertions_4,281,1046,3-Insertions_4_01,139,32
3-Insertions_4,281,1046,3-Insertions_4_02,138,33
3-Insertions_5,1406,9695,3-Insertions_5_01,701,34
3-Insertions_5,1406,9695,3-Insertions_5_02,700,35
4-FullIns_3,114,541,4-FullIns_3_01,55,36
4-FullIns_3,114,541,4-FullIns_3_02,54,37
4-FullIns_4,690,6650,4-FullIns_4_01,343,38
4-FullIns_4,690,6650,4-FullIns_4_02,342,39
4-FullIns_5,4146,77305,4-FullIns_5_01,2070,40
4-FullIns_5,4146,77305,4-FullIns_5_02,2070,41
4-Insertions_3,79,156,4-Insertions_3_01,38,42
4-Insertions_3,79,156,4-Insertions_3_02,38,43
4-Insertions_4,475,1795,4-Insertions_4_01,236,44
4-Insertions_4,475,1795,4-Insertions_4_02,236,45
5-FullIns_3,154,792,5-FullIns_3_01,72,46
5-FullIns_3,154,792,5-FullIns_3_02,71,47
5-FullIns_4,1085,11395,5-FullIns_4_01,535,48
5-FullIns_4,1085,11395,5-FullIns_4_02,534,49
DSJC1000.1,1000,49629,DSJC1000.1_01,66,50
DSJC1000.1,1000,49629,DSJC1000.1_02,66,51
DSJC1000.5,1000,249826,DSJC1000.5_01,14,52
DSJC1000.5,1000,249826,DSJC1000.5_02,13,53
DSJC1000.9,1000,449449,DSJC1000.9_01,5,54
DSJC1000.9,1000,449449,DSJC1000.9_02,5,55
DSJC125.1,125,736,DSJC125.1_01,34,56
DSJC125.1,125,736,DSJC125.1_02,33,57
DSJC125.5,125,3891,DSJC125.5_01,9,58
DSJC125.5,125,3891,DSJC125.5_02,9,59
DSJC125.9,125,6961,DSJC125.9_01,4,60
DSJC125.9,125,6961,DSJC125.9_02,3,61
DSJC250.1,250,3218,DSJC250.1_01,44,62
DSJC250.1,250,3218,DSJC250.1_02,43,63
DSJC250.5,250,15668,DSJC250.5_01,11,64
DSJC250.5,250,15668,DSJC250.5_02,11,65
DSJC250.9,250,27897,DSJC250.9_01,4,66
DSJC250.9,250,27897,DSJC250.9_02,4,67
DSJC500.1,500,12458,DSJC500.1_01,57,68
DSJC500.1,500,12458,DSJC500.1_02,56,69
DSJC500.5,500,62624,DSJC500.5_01,12,70
DSJC500.5,500,62624,DSJC500.5_02,12,71
DSJC500.9,500,112437,DSJC500.9_01,4,72
DSJC500.9,500,112437,DSJC500.9_02,4,73
DSJR500.1,500,3555,DSJR500.1_01,82,74
DSJR500.1,500,3555,DSJR500.1_02,81,75
DSJR500.1c,500,121275,DSJR500.1c_01,13,76
DSJR500.1c,500,121275,DSJR500.1c_02,12,77
DSJR500.5,500,58862,DSJR500.5_01,7,78
DSJR500.5,500,58862,DSJR500.5_02,6,79
anna,138,493,anna_01,80,80
anna,138,493,anna_02,79,81
