graph_name,vertices,edges,dat_file,tokens,independent_sets,cpu_time,wallclock_time,max_memory,zdd_time,zdd_size,solved?,error,reconfiguration_sequence_length,type
hc-power-015-002,229,348,hc-power-015-002_01,92,5574197766708031179445012038756188664562183,9586.22,9600,36920780,0.055598,1032,0,,,opt
hc-power-018-002,274,417,hc-power-018-002_01,110,1314500581644442308054917054661833384029658065341294,9577.569,9600,136571532,0.081431,1174,0,,,orig
hc-power-015-002,229,348,hc-power-015-002_01,92,5574197766708031179445012038756188664562183,9189.52,9203,37375812,0.056312,976,1,,884546,orig
hc-power-018-002,274,417,hc-power-018-002_01,110,1314500581644442308054917054661833384029658065341294,9578.16,9600,135166016,0.080841,1242,0,,,heur
hc-power-017-002,259,394,hc-power-017-002_01,104,2127655511458921906699036812684863553827095067151,9577.7295,9600,73609108,0.072573,1172,0,,,heur
hc-power-017-002,259,394,hc-power-017-002_01,104,2127655511458921906699036812684863553827095067151,9577.029,9600,134146576,0.072823,1108,0,,,orig
hc-power-017-002,259,394,hc-power-017-002_01,104,2127655511458921906699036812684863553827095067151,9577.699,9600,73441420,0.072397,1172,0,,,opt
hc-power-014-002,214,325,hc-power-014-002_01,86,9022417156682815492520665863912956245046,3883.5,3888,18562968,0.048404,910,1,,442189,orig
hc-power-018-002,274,417,hc-power-018-002_01,110,1314500581644442308054917054661833384029658065341294,9577.68,9600,135195152,0.080897,1242,0,,,opt
hc-power-014-002,214,325,hc-power-014-002_01,86,9022417156682815492520665863912956245046,4071.8499,4077,10997104,0.048151,962,1,,442189,opt
hc-power-014-002,214,325,hc-power-014-002_01,86,9022417156682815492520665863912956245046,4057.7,4063,10997524,0.048762,962,1,,442189,heur
hc-power-019-002,289,440,hc-power-019-002_01,116,812120087033618215897164092207942923928586126523583359,9576.78,9600,139603360,0.090603,1240,0,,,orig
hc-power-019-002,289,440,hc-power-019-002_01,116,812120087033618215897164092207942923928586126523583359,9577.36,9600,138049980,0.090186,1312,0,,,heur
hc-power-015-002,229,348,hc-power-015-002_01,92,5574197766708031179445012038756188664562183,9586.101,9600,36920520,0.055495,1032,0,,,heur
hc-power-019-002,289,440,hc-power-019-002_01,116,812120087033618215897164092207942923928586126523583359,9577.67,9600,138096408,0.090231,1312,0,,,opt
