graph_name,vertices,edges,dat_file,tokens,independent_sets,cpu_time,wallclock_time,max_memory,zdd_time,zdd_size,solved?,error,reconfiguration_sequence_length,type
hc-power-018-002,274,417,hc-power-018-002_01,110,1314500581644442308054917054661833384029658065341294,7177.7603,7200,74098436,0.081963,1242,0,,,opt
hc-power-017-002,259,394,hc-power-017-002_01,104,2127655511458921906699036812684863553827095067151,7176.0996,7200,72963952,0.074322,1108,0,,,orig
hc-power-014-002,214,325,hc-power-014-002_01,86,9022417156682815492520665863912956245046,4067.18,4079,10993032,0.049354,962,1,,442175,opt
hc-power-017-002,259,394,hc-power-017-002_01,104,2127655511458921906699036812684863553827095067151,7178.57,7200,71966984,0.072790,1172,0,,,heur
hc-power-017-002,259,394,hc-power-017-002_01,104,2127655511458921906699036812684863553827095067151,7178.66,7200,71749268,0.072632,1172,0,,,opt
hc-power-014-002,214,325,hc-power-014-002_01,86,9022417156682815492520665863912956245046,3904.04,3916,18559824,0.049086,910,1,,442175,orig
hc-power-014-002,214,325,hc-power-014-002_01,86,9022417156682815492520665863912956245046,4078.19,4086,10992904,0.086273,962,1,,442175,heur
hc-power-016-002,244,371,hc-power-016-002_01,98,3443831093462389356374187356733005542648388264,7179.73,7200,66901032,0.064685,1102,0,,,heur
hc-power-018-002,274,417,hc-power-018-002_01,110,1314500581644442308054917054661833384029658065341294,7175.7397,7200,74706240,0.081933,1174,0,,,orig
hc-power-016-002,244,371,hc-power-016-002_01,98,3443831093462389356374187356733005542648388264,7177.84,7200,67896244,0.064418,1042,0,,,orig
hc-power-018-002,274,417,hc-power-018-002_01,110,1314500581644442308054917054661833384029658065341294,7177.6797,7200,74050412,0.082025,1242,0,,,heur
hc-power-019-002,289,440,hc-power-019-002_01,116,812120087033618215897164092207942923928586126523583359,7178.69,7200,133420512,0.091244,1312,0,,,opt
hc-power-016-002,244,371,hc-power-016-002_01,98,3443831093462389356374187356733005542648388264,7172.87,7200,66896632,0.064185,1102,0,,,opt
hc-power-019-002,289,440,hc-power-019-002_01,116,812120087033618215897164092207942923928586126523583359,7177.09,7200,134453380,0.090596,1240,0,,,orig
hc-power-013-002,199,302,hc-power-013-002_01,80,14603717836383728549736459587959249895,1701.28,1706.79,5417208,0.042616,892,1,,221003,opt
hc-power-013-002,199,302,hc-power-013-002_01,80,14603717836383728549736459587959249895,1707.5,1711.67,9179476,0.044094,844,1,,221003,orig
hc-power-013-002,199,302,hc-power-013-002_01,80,14603717836383728549736459587959249895,1709.55,1715.01,5415436,0.042523,892,1,,221003,heur
hc-power-020-002,304,463,hc-power-020-002_01,122,501741151714369915506768957681239053884548329894829212368,7177.2,7201,134552004,0.100183,1382,0,,,opt
hc-power-020-002,304,463,hc-power-020-002_01,122,501741151714369915506768957681239053884548329894829212368,7176.27,7201,135177424,0.101590,1306,0,,,orig
hc-power-019-002,289,440,hc-power-019-002_01,116,812120087033618215897164092207942923928586126523583359,7176.92,7201,133013588,0.090297,1312,0,,,heur
suzuki_instance_3_12_2_3,552,3063,suzuki_instance_3_12_2_3_01,74,15520865446438123865698137776787370340512054876661596017772,3494.0398,3504.62,17348084,1.582366,2466,1,,110423,heur
hc-power-020-002,304,463,hc-power-020-002_01,122,501741151714369915506768957681239053884548329894829212368,7176.62,7201,133717584,0.100946,1382,0,,,heur
suzuki_instance_3_12_2_3,552,3063,suzuki_instance_3_12_2_3_01,74,15520865446438123865698137776787370340512054876661596017772,3507.99,3518.55,17348112,1.480996,2466,1,,110423,opt
suzuki_instance_3_12_2_3,552,3063,suzuki_instance_3_12_2_3_01,74,15520865446438123865698137776787370340512054876661596017772,3536.01,3546.57,17611764,1.562180,2334,1,,110423,orig
hc-power-015-002,229,348,hc-power-015-002_01,92,5574197766708031179445012038756188664562183,7179.4897,7200,35604100,0.056286,1032,0,,,heur
hc-power-015-002,229,348,hc-power-015-002_01,92,5574197766708031179445012038756188664562183,7178.2397,7200,36245004,0.056679,976,0,,,orig
hc-power-015-002,229,348,hc-power-015-002_01,92,5574197766708031179445012038756188664562183,7173.58,7200,35611768,0.056414,1032,0,,,opt
suzuki_instance_3_12_2_2,368,1300,suzuki_instance_3_12_2_2_01,74,5079167438886921136163197043042252861907119717869,2055.3,2061.65,9209404,0.354735,1644,1,,110423,heur
suzuki_instance_3_12_2_2,368,1300,suzuki_instance_3_12_2_2_01,74,5079167438886921136163197043042252861907119717869,2054.36,2060.57,9355308,0.358803,1556,1,,110423,orig
suzuki_instance_3_12_2_2,368,1300,suzuki_instance_3_12_2_2_01,74,5079167438886921136163197043042252861907119717869,2066.55,2072.82,9210992,0.348720,1644,1,,110423,opt
suzuki_instance_3_14_2_2,428,1514,suzuki_instance_3_14_2_2_01,86,405207322404517013540974185499382529431898431389309556269,3587.99,3600,35836468,0.486064,1924,0,,,heur
suzuki_instance_3_14_2_2,428,1514,suzuki_instance_3_14_2_2_01,86,405207322404517013540974185499382529431898431389309556269,3587.34,3600,36575484,0.499204,1820,0,,,orig
suzuki_instance_3_14_2_2,428,1514,suzuki_instance_3_14_2_2_01,86,405207322404517013540974185499382529431898431389309556269,3587.8,3600,35830592,0.487905,1924,0,,,opt
suzuki_instance_3_15_2_2,458,1621,suzuki_instance_3_15_2_2_01,92,3619258993215587040499992278375222152754227270671117222674355,3586.31,3600,67536136,0.653121,2064,0,,,opt
hc-power-012-002,184,279,hc-power-012-002_01,74,23637631794351951224765884378156416,726.52997,728.49,4558772,0.036740,778,1,,110423,orig
hc-power-012-002,184,279,hc-power-012-002_01,74,23637631794351951224765884378156416,701.51,703.79,2675988,0.036800,822,1,,110423,opt
hc-power-012-002,184,279,hc-power-012-002_01,74,23637631794351951224765884378156416,700.3,702.61,2676768,0.036329,822,1,,110423,heur
