graph_name,exit_status,cpu_time,wallclock_time,maximum_resident_set_size
1-FullIns_3,0,1.94,1.83,4799224
1-FullIns_4,0,2.01,1.82,4799792
1-FullIns_5,0,2.36,1.92,4824736
1-Insertions_4,0,1.96,1.84,4797144
1-Insertions_5,0,2.2,1.86,4810592
1-Insertions_6,0,2.6799999999999997,2.01,4910160
2-FullIns_3,0,1.95,1.83,4796192
2-FullIns_4,0,2.21,1.86,4813756
2-FullIns_5,0,3.2,2.15,5030000
2-Insertions_3,0,1.94,1.83,4794088
2-Insertions_4,0,2.1,1.88,4804904
2-Insertions_5,0,2.46,2.0,4884352
3-FullIns_3,0,1.99,1.84,4795152
3-FullIns_4,0,2.37,1.92,4838644
3-FullIns_5,0,4.35,3.23,6654792
3-Insertions_3,0,1.96,1.84,4797096
3-Insertions_4,0,2.23,1.88,4820504
3-Insertions_5,0,3.44,2.39,5446724
4-FullIns_3,0,2.07,1.86,4803572
4-FullIns_4,0,2.65,2.04,4917388
4-FullIns_5,0,10.739999999999998,9.51,18329352
4-Insertions_3,0,1.95,1.83,4796232
4-Insertions_4,0,2.32,1.93,4848660
5-FullIns_3,0,2.08,1.85,4803792
5-FullIns_4,0,3.3600000000000003,2.25,5171812
DSJC1000.1,0,3.58,2.52,5120440
DSJC1000.5,0,7.6899999999999995,6.48,5504608
DSJC1000.9,0,13.74,12.67,5891132
DSJC125.1,0,2.08,1.85,4803608
DSJC125.5,0,2.1799999999999997,1.87,4825124
DSJC125.9,0,2.41,1.9,4832592
DSJC250.1,0,2.27,1.91,4815988
DSJC250.5,0,2.77,1.96,4864228
DSJC250.9,0,2.85,2.0,4891920
DSJC500.1,0,2.95,2.03,4894524
DSJC500.5,0,3.4000000000000004,2.44,4982656
DSJC500.9,0,3.68,2.56,5093892
DSJR500.1,0,2.37,1.95,4849796
DSJR500.1c,0,3.8100000000000005,2.68,5115668
DSJR500.5,0,3.38,2.28,4993328
LGC_exp_instance001,0,1.95,1.84,4795152
LGC_exp_instance002,0,1.96,1.84,4794156
LGC_exp_instance003,0,1.9499999999999997,1.82,4796212
LGC_exp_instance004,0,2.01,1.85,4799156
LGC_exp_instance005,0,2.04,1.86,4812980
LGC_exp_instance006,0,2.13,1.88,4812700
LGC_exp_instance007,0,2.19,1.9,4818964
LGC_exp_instance008,0,2.2399999999999998,1.91,4839408
LGC_exp_instance009,0,2.28,1.95,4854764
LGC_exp_instance010,0,2.33,1.97,4885660
SAT_exp_instance002,0,1.93,1.82,4794172
SAT_exp_instance004,0,1.93,1.82,4795212
SAT_exp_instance006,0,1.94,1.82,4794172
SAT_exp_instance008,0,1.94,1.83,4795196
SAT_exp_instance010,0,1.97,1.83,4796184
SAT_exp_instance012,0,2.04,1.86,4811748
SAT_exp_instance014,0,2.05,1.86,4798304
SAT_exp_instance016,0,2.11,1.87,4807520
SAT_exp_instance018,0,2.1799999999999997,1.88,4818044
SAT_exp_instance020,0,2.25,1.91,4824064
anna,0,2.07,1.86,4803508
ash331GPIA,0,2.45,2.0,4907084
ash608GPIA,0,3.35,2.32,5361052
ash958GPIA,0,4.0,2.91,6482308
david,0,2.0,1.82,4800632
games120,0,2.08,1.86,4803568
grid004x004,0,1.92,1.81,4794068
grid010x010,0,1.98,1.86,4797280
grid020x020,0,2.23,1.9,4830176
grid030x030,0,2.46,2.02,4966052
grid040x040,0,2.8099999999999996,2.32,5581924
grid050x050,0,3.8099999999999996,3.22,7346244
grid060x060,0,6.16,5.21,11954128
grid070x070,0,10.55,9.64,22491520
grid080x080,0,18.66,17.63,43035388
grid090x090,0,33.47,30.55,58496460
grid100x100,0,53.300000000000004,48.39,58499924
