graph_name,exit_status,cpu_time,wallclock_time,maximum_resident_set_size
1-FullIns_3,0,1.88,1.82,4790508
1-FullIns_4,0,71.75,65.42,58548768
1-Insertions_4,0,25.22,24.11,32657024
2-FullIns_3,0,2.2199999999999998,1.94,4907736
2-Insertions_3,0,1.98,1.86,4842920
2-Insertions_5,124,7842.53,3600,147205320
3-FullIns_3,0,8.219999999999999,7.27,11648236
3-Insertions_3,0,3.22,2.46,5520996
4-FullIns_3,0,187.92,167.86,59174828
4-FullIns_4,124,5773.22,3600,207189212
4-Insertions_3,0,17.06,15.59,23683116
4-Insertions_4,124,7860.63,3600,137850200
DSJC1000.9,0,99.16,83.88,58598376
DSJC125.5,0,12.040000000000001,10.16,14276840
DSJC125.9,0,2.27,1.89,4827688
DSJC250.9,0,3.13,2.12,5004716
DSJC500.1,124,8113.41,3600,105538988
DSJC500.9,0,7.390000000000001,5.37,10086224
DSJR500.1c,0,3.9299999999999997,2.72,5235400
DSJR500.5,0,70.3,65.81,58505384
LGC_exp_instance001,0,1.8499999999999999,1.81,4786116
LGC_exp_instance002,0,1.88,1.83,4788480
LGC_exp_instance003,0,1.97,1.85,4813816
LGC_exp_instance004,0,2.94,2.29,5138088
LGC_exp_instance005,0,10.98,10.11,16287488
LGC_exp_instance006,0,315.19,276.1,58905860
LGC_exp_instance007,124,5620.08,3601,375144228
LGC_exp_instance008,124,4805.08,3600,301204224
LGC_exp_instance009,124,4287.86,3601,486324092
LGC_exp_instance010,124,4195.36,3600,285528972
SAT_exp_instance002,0,1.8499999999999999,1.8,4786420
SAT_exp_instance004,0,1.8399999999999999,1.79,4788528
SAT_exp_instance006,0,1.89,1.83,4794620
SAT_exp_instance008,0,2.39,2.05,4975876
SAT_exp_instance010,0,12.84,11.73,18102260
SAT_exp_instance012,0,1965.56,1179.38,64668068
SAT_exp_instance014,124,12994.94,3600,81220600
SAT_exp_instance016,124,9398.71,3600,117881064
SAT_exp_instance018,124,9991.55,3600,84849652
SAT_exp_instance020,124,11126.28,3600,78987656
anna,124,8234.61,3600,294263220
david,0,4.35,3.44,6702324
games120,0,116.73,102.32,58817300
grid004x004,0,1.8399999999999999,1.8,4786372
grid010x010,0,5.34,4.4,8338996
hc-power-004-002,0,1.93,1.83,4815128
hc-power-005-002,0,1.97,1.84,4812900
hc-power-006-002,0,2.08,1.88,4829576
hc-power-007-002,0,2.12,1.89,4841812
hc-power-008-002,0,2.1799999999999997,1.93,4861528
hc-power-009-002,0,2.29,1.95,4887036
hc-power-010-002,0,2.38,1.99,4915064
hc-power-011-002,0,2.5,2.05,4960492
hc-power-012-002,0,2.6100000000000003,2.11,4996540
hc-power-013-002,0,2.8200000000000003,2.21,5054560
hc-power-014-002,0,3.0700000000000003,2.34,5131632
hc-power-015-002,0,3.12,2.41,5206372
hc-power-016-002,0,3.14,2.45,5286080
hc-power-017-002,0,3.4299999999999997,2.62,5391048
hc-power-018-002,0,3.3200000000000003,2.6,5509948
hc-power-019-002,0,3.57,2.72,5639276
hc-power-020-002,0,3.82,2.91,5780508
hc-power-11,0,1.8599999999999999,1.82,4788248
hc-power-12,0,1.89,1.83,4791608
hc-square-004-002,0,1.89,1.84,4790512
hc-square-005-002,0,1.89,1.83,4793516
hc-square-006-002,0,1.9,1.83,4796424
hc-square-007-002,0,1.95,1.85,4801752
hc-square-008-002,0,1.99,1.87,4824384
hc-square-009-002,0,2.04,1.86,4816976
hc-square-01,0,1.8499999999999999,1.81,4786472
hc-square-010-002,0,2.07,1.86,4821652
hc-square-011-002,0,2.09,1.86,4832668
hc-square-012-002,0,2.11,1.88,4840672
hc-square-013-002,0,2.19,1.91,4853156
hc-square-014-002,0,2.2199999999999998,1.91,4865556
hc-square-015-002,0,2.28,1.95,4879784
