graph_name,vertices,edges,dat_file,dat_file_s_id,tokens,independent_sets,reconfiguration_sequence_length,pw_opt,pw_heur,pw_orig,cpu_time_opt,cpu_time_heur,cpu_time_orig,wallclock_time_opt,wallclock_time_heur,wallclock_time_orig,max_memory_opt,max_memory_heur,max_memory_orig,zdd_time_opt,zdd_time_heur,zdd_time_orig,zdd_size_opt,zdd_size_heur,zdd_size_orig,solved?_opt,solved?_heur,solved?_orig,error_opt,error_heur,error_orig,cpu_time_opt_preprocess,cpu_time_heur_preprocess,wallclock_time_opt_preprocess,wallclock_time_heur_preprocess,max_memory_opt_preprocess,max_memory_heur_preprocess,solved?_opt_preprocess,solved?_heur_preprocess
1-FullIns_3,30,100,1-FullIns_3_01,0,14,83039,1,11,13,14,0.01,0.01,0.01,0.02,0.01,0.01,31988,31992,31984,0.004345,0.003533,0.003457,546,333,664,1,1,1,,,,1.88,1.94,1.82,1.83,4790508,4799224,1,1
1-FullIns_3,30,100,1-FullIns_3_02,1,13,83039,4,11,13,14,0.01,0.0,0.0,0.01,0.01,0.01,31988,31988,31988,0.004267,0.003525,0.003477,546,333,664,1,1,1,,,,1.88,1.94,1.82,1.83,4790508,4799224,1,1
1-FullIns_4,93,593,1-FullIns_4_01,2,45,343142930930159,1,32,35,45,136.7,62.49,30.89,136.98,62.63,30.96,8572560,4283404,1225780,136.820223,62.352089,30.359912,395153,793894,2015949,1,1,1,,,,71.75,2.01,65.42,1.82,58548768,4799792,1,1
1-FullIns_4,93,593,1-FullIns_4_02,3,44,343142930930159,4,32,35,45,136.37,62.53,30.85,136.63,62.67,30.92,8543824,4283404,1225272,136.454836,62.388454,30.324036,395153,793894,2015949,1,1,1,,,,71.75,2.01,65.42,1.82,58548768,4799792,1,1
1-FullIns_5,282,3247,1-FullIns_5_01,4,139,,,,102,139,,1796.2101,1796.65,,1800.27,1800.43,,85702968,144078976,,,,,,,0,0,0,,,,,2.36,,1.92,,4824736,0,1
1-FullIns_5,282,3247,1-FullIns_5_02,5,138,,,,102,139,,1796.1,1796.6299,,1800.23,1800.43,,71879572,144472452,,,,,,,0,0,0,,,,,2.36,,1.92,,4824736,0,1
1-Insertions_4,67,232,1-Insertions_4_01,6,32,232007606571,3,21,24,31,0.37,10.450001,6.2999997,0.38,10.48,6.32,70428,573836,305560,0.365989,10.373061,6.123946,20258,310776,761556,1,1,1,,,,25.22,1.96,24.11,1.84,32657024,4797144,1,1
1-Insertions_4,67,232,1-Insertions_4_02,7,31,232007606571,7,21,24,31,0.39000002,10.47,6.29,0.4,10.5,6.31,70784,574496,304968,0.366127,10.386893,6.106785,20258,310776,761556,1,1,1,,,,25.22,1.96,24.11,1.84,32657024,4797144,1,1
1-Insertions_5,202,1227,1-Insertions_5_01,8,99,,,,70,98,,1796.45,1796.73,,1800.4,1800.42,,134404000,141447228,,,,,,,0,0,0,,,,,2.2,,1.86,,4810592,0,1
1-Insertions_5,202,1227,1-Insertions_5_02,9,98,,,,70,98,,1796.36,1796.75,,1800.4,1800.42,,134433012,141141728,,,,,,,0,0,0,,,,,2.2,,1.86,,4810592,0,1
1-Insertions_6,607,6337,1-Insertions_6_01,10,301,,,,206,300,,1795.77,1796.61,,1800.45,1800.47,,130704336,144974316,,,,,,,0,0,0,,,,,2.68,,2.01,,4910160,0,1
1-Insertions_6,607,6337,1-Insertions_6_02,11,300,,,,206,300,,1795.83,1796.6599,,1800.44,1800.47,,132191184,145354604,,,,,,,0,0,0,,,,,2.68,,2.01,,4910160,0,1
2-FullIns_3,52,201,2-FullIns_3_01,12,24,209515460,2,15,21,19,0.02,0.07,0.02,0.03,0.07,0.03,33012,33012,34036,0.022158,0.059735,0.019822,4914,7572,7040,1,1,1,,,,2.22,1.95,1.94,1.83,4907736,4796192,1,1
2-FullIns_3,52,201,2-FullIns_3_02,13,24,209515460,2,15,21,19,0.03,0.07,0.03,0.03,0.07,0.03,33016,33012,34036,0.022314,0.060555,0.019765,4914,7572,7040,1,1,1,,,,2.22,1.95,1.94,1.83,4907736,4796192,1,1
2-FullIns_4,212,1621,2-FullIns_4_01,14,104,,,,66,73,,1796.58,1796.7101,,1800.21,1800.41,,72852956,138667980,,,,,,,0,0,0,,,,,2.21,,1.86,,4813756,0,1
2-FullIns_4,212,1621,2-FullIns_4_02,15,104,,,,66,73,,1796.5901,1796.6799,,1800.22,1800.41,,72852948,138667980,,,,,,,0,0,0,,,,,2.21,,1.86,,4813756,0,1
2-FullIns_5,852,12201,2-FullIns_5_01,16,424,,,,228,287,,1795.9299,1796.42,,1800.45,1800.47,,132485132,147123148,,,,,,,0,0,0,,,,,3.2,,2.15,,5030000,0,1
2-FullIns_5,852,12201,2-FullIns_5_02,17,424,,,,228,287,,1795.87,1796.4299,,1800.44,1800.47,,134337060,148499476,,,,,,,0,0,0,,,,,3.2,,2.15,,5030000,0,1
2-Insertions_3,37,72,2-Insertions_3_01,18,17,6031508,5,9,10,11,0.01,0.01,0.01,0.02,0.02,0.02,31760,31988,33012,0.004266,0.003668,0.003886,1128,1178,2498,1,1,1,,,,1.98,1.94,1.86,1.83,4842920,4794088,1,1
2-Insertions_3,37,72,2-Insertions_3_02,19,17,6031508,5,9,10,11,0.01,0.0,0.01,0.02,0.01,0.01,31988,31984,31988,0.004204,0.003684,0.003874,1128,1178,2498,1,1,1,,,,1.98,1.94,1.86,1.83,4842920,4794088,1,1
