graph_name,vertices,edges,dat_file,tokens,independent_sets,reconfiguration_sequence_length,pw_opt,pw_heur,pw_orig,cpu_time_opt,cpu_time_heur,cpu_time_orig,wallclock_time_opt,wallclock_time_heur,wallclock_time_orig,max_memory_opt,max_memory_heur,max_memory_orig,zdd_time_opt,zdd_time_heur,zdd_time_orig,zdd_size_opt,zdd_size_heur,zdd_size_orig,solved?_opt,solved?_heur,solved?_orig,error_opt,error_heur,error_orig,cpu_time_opt_preprocess,cpu_time_heur_preprocess,wallclock_time_opt_preprocess,wallclock_time_heur_preprocess,max_memory_opt_preprocess,max_memory_heur_preprocess,solved?_opt_preprocess,solved?_heur_preprocess
1-FullIns_3,30,100,1-FullIns_3_01,14,83039,1,11,13,14,0.01,0.0,0.02,0.01,0.01,0.03,33012,33012,31744,0.004301,0.003574,0.003602,546,333,664,1,1,1,,,,1.88,1.94,1.82,1.83,4790508,4799224,1,1
1-FullIns_3,30,100,1-FullIns_3_02,13,83039,3,11,13,14,0.01,0.0,0.0,0.01,0.01,0.01,33012,33012,31988,0.004318,0.003661,0.003502,546,333,664,1,1,1,,,,1.88,1.94,1.82,1.83,4790508,4799224,1,1
1-FullIns_4,93,593,1-FullIns_4_01,45,343142930930159,1,32,35,45,138.26999,63.3,55.5,138.8,63.54,55.7,8572564,4284428,1225324,138.612803,63.248404,54.757884,395153,793894,2015949,1,1,1,,,,71.75,2.01,65.42,1.82,58548768,4799792,1,1
1-FullIns_4,93,593,1-FullIns_4_02,44,343142930930159,1,32,35,45,135.93,62.98,31.380001,136.45,63.2,31.49,8544592,4282816,1225480,136.284143,62.913309,30.870157,395153,793894,2015949,1,1,1,,,,71.75,2.01,65.42,1.82,58548768,4799792,1,1
1-FullIns_5,282,3247,1-FullIns_5_01,139,,,,102,139,,1796.14,1796.68,,1800.23,1800.43,,71879572,144472456,,,,,,,0,0,0,,,,,2.36,,1.92,,4824736,0,1
1-FullIns_5,282,3247,1-FullIns_5_02,138,,,,102,139,,1796.24,1796.68,,1800.28,1800.43,,89316372,144472456,,,,,,,0,0,0,,,,,2.36,,1.92,,4824736,0,1
1-Insertions_4,67,232,1-Insertions_4_01,32,232007606571,3,21,24,31,0.47,10.65,7.2,0.48,10.69,7.23,68476,573752,305444,0.461986,10.583958,7.001794,20258,310776,761556,1,1,1,,,,25.22,1.96,24.11,1.84,32657024,4797144,1,1
1-Insertions_4,67,232,1-Insertions_4_02,31,232007606571,2,21,24,31,0.4,10.650001,6.39,0.4,10.69,6.41,71028,573308,304960,0.38189,10.583027,6.206629,20258,310776,761556,1,1,1,,,,25.22,1.96,24.11,1.84,32657024,4797144,1,1
1-Insertions_5,202,1227,1-Insertions_5_01,99,,,,70,98,,1796.5,1796.7999,,1800.4,1800.42,,134404004,141447224,,,,,,,0,0,0,,,,,2.2,,1.86,,4810592,0,1
1-Insertions_5,202,1227,1-Insertions_5_02,98,,,,70,98,,1796.39,1796.72,,1800.4,1800.42,,134433016,141141724,,,,,,,0,0,0,,,,,2.2,,1.86,,4810592,0,1
1-Insertions_6,607,6337,1-Insertions_6_01,301,,,,206,300,,1796.02,1796.65,,1800.38,1800.47,,115413980,145335184,,,,,,,0,0,0,,,,,2.68,,2.01,,4910160,0,1
1-Insertions_6,607,6337,1-Insertions_6_02,300,,,,206,300,,1795.73,1796.63,,1800.31,1800.47,,115413980,144994404,,,,,,,0,0,0,,,,,2.68,,2.01,,4910160,0,1
2-FullIns_3,52,201,2-FullIns_3_01,24,209515460,2,15,21,19,0.03,0.07,0.02,0.03,0.07,0.03,34032,34036,33012,0.022567,0.060656,0.019857,4914,7572,7040,1,1,1,,,,2.22,1.95,1.94,1.83,4907736,4796192,1,1
2-FullIns_3,52,201,2-FullIns_3_02,24,209515460,2,15,21,19,0.03,0.07,0.02,0.03,0.07,0.03,34036,34036,33012,0.022461,0.060801,0.019848,4914,7572,7040,1,1,1,,,,2.22,1.95,1.94,1.83,4907736,4796192,1,1
